mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbregressor__colsample_bylevel,param_xgbregressor__colsample_bytree,param_xgbregressor__learning_rate,param_xgbregressor__max_depth,param_xgbregressor__n_estimators,param_xgbregressor__reg_alpha,param_xgbregressor__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,mean_train_score,std_train_score
7.420454263687134,3.2598327035085695,0.24167433381080627,0.04770374827206465,0.8,0.8,0.01,4,100,0,0.6,"{'xgbregressor__colsample_bylevel': 0.8, 'xgbregressor__colsample_bytree': 0.8, 'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 4, 'xgbregressor__n_estimators': 100, 'xgbregressor__reg_alpha': 0, 'xgbregressor__subsample': 0.6}",-1.5117366834785566,-1.5535304196929856,-1.474125534457618,-1.5833142240723512,-1.5960556566764736,-1.5990001982371764,-1.7859258728351761,-1.5713779121865807,-1.5843833127046147,0.08625963373925818,419,-1.672191754351643,-1.6660797939705538,-1.6425356663924744,-1.6391549178841005,-1.6440614937137428,-1.643053955441267,-1.6483569761533794,-1.6625778506142292,-1.6522515510651739,0.011875527385182365
7.012136846780777,2.9834413680818437,0.23854494094848633,0.04665200786935077,0.8,0.8,0.01,4,100,0,0.8,"{'xgbregressor__colsample_bylevel': 0.8, 'xgbregressor__colsample_bytree': 0.8, 'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 4, 'xgbregressor__n_estimators': 100, 'xgbregressor__reg_alpha': 0, 'xgbregressor__subsample': 0.8}",-1.516094854095494,-1.55528749109332,-1.4736291809198951,-1.5824322206997146,-1.5969500925156055,-1.601273775373338,-1.7838172817591404,-1.5728914835578918,-1.5852970475018,0.08523692526244733,427,-1.672575667492118,-1.6667054621275257,-1.6423765225993554,-1.6388758353166737,-1.644040234506253,-1.6435846942919916,-1.6486580261878436,-1.6627359169921723,-1.6524440449392417,0.012059696603149813
6.73640900850296,2.9070053602318033,0.24772858619689941,0.04743222045326009,0.8,0.8,0.01,4,100,0,1,"{'xgbregressor__colsample_bylevel': 0.8, 'xgbregressor__colsample_bytree': 0.8, 'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 4, 'xgbregressor__n_estimators': 100, 'xgbregressor__reg_alpha': 0, 'xgbregressor__subsample': 1}",-1.5109175466108395,-1.5619389517181936,-1.4780378071693066,-1.5802192353108904,-1.5983306741134733,-1.5998851533176115,-1.787044586830789,-1.5736747276601595,-1.5862560853414078,0.08574724323112451,430,-1.6730234910899895,-1.6671181507186164,-1.6433744988238017,-1.6385794922906565,-1.6442797699776812,-1.6431288232845336,-1.6486358213529668,-1.6630864521341846,-1.6526533124590537,0.012217647410267051
7.869785934686661,3.4273602536253827,0.2480839192867279,0.0460647613782421,0.8,0.8,0.01,4,100,0.01,0.6,"{'xgbregressor__colsample_bylevel': 0.8, 'xgbregressor__colsample_bytree': 0.8, 'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 4, 'xgbregressor__n_estimators': 100, 'xgbregressor__reg_alpha': 0.01, 'xgbregressor__subsample': 0.6}",-1.5117313300361712,-1.553530736522095,-1.4741230394623315,-1.5833144629788924,-1.5960498966225807,-1.5990003339746375,-1.7859259620657557,-1.572422342033689,-1.584512262962019,0.08624152141995167,420,-1.6721932784930598,-1.6660802905926402,-1.642536446937981,-1.6391551058363325,-1.644061349397006,-1.6430541750870653,-1.648357084188801,-1.6626923730162906,-1.652266262943647,0.011888301432290147
7.545691698789597,2.9546143169376395,0.24494317173957825,0.04475872085323469,0.8,0.8,0.01,4,100,0.01,0.8,"{'xgbregressor__colsample_bylevel': 0.8, 'xgbregressor__colsample_bytree': 0.8, 'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 4, 'xgbregressor__n_estimators': 100, 'xgbregressor__reg_alpha': 0.01, 'xgbregressor__subsample': 0.8}",-1.5160965952761405,-1.555287775467608,-1.4736292228355035,-1.5824324730762187,-1.5969502575396104,-1.6012738791253311,-1.7838175100112885,-1.5728916582942518,-1.585297421453244,0.08523679664379524,428,-1.6725766908394535,-1.666705929490892,-1.6423767866512717,-1.638876048069016,-1.6440404002500792,-1.6435848383837,-1.6486581172610968,-1.6627360156930386,-1.6524443533298183,0.012059901040694862
6.889634221792221,3.000535743990425,0.2438453733921051,0.04782033265448821,0.8,0.8,0.01,4,100,0.01,1,"{'xgbregressor__colsample_bylevel': 0.8, 'xgbregressor__colsample_bytree': 0.8, 'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 4, 'xgbregressor__n_estimators': 100, 'xgbregressor__reg_alpha': 0.01, 'xgbregressor__subsample': 1}",-1.5109131803072806,-1.5619276328758105,-1.4780378694404175,-1.5802193901680088,-1.5983307778110973,-1.5998852319318484,-1.787044400656727,-1.573671668082926,-1.5862537689092644,0.08574811790701026,429,-1.6730245731716908,-1.6671175536217626,-1.643374721830904,-1.6385796824688421,-1.6442798998731394,-1.6431289242588536,-1.6486359437447073,-1.663086501649936,-1.6526534750774795,0.01221771530080226
15.299109071493149,6.718259990556172,0.26401084661483765,0.05063761222736634,0.8,0.8,0.01,4,200,0,0.6,"{'xgbregressor__colsample_bylevel': 0.8, 'xgbregressor__colsample_bytree': 0.8, 'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 4, 'xgbregressor__n_estimators': 200, 'xgbregressor__reg_alpha': 0, 'xgbregressor__subsample': 0.6}",-1.2583832217857334,-1.2008050239035353,-1.2381413233597853,-1.2864119251950439,-1.2177597029464682,-1.2359791010576666,-1.3418221686200265,-1.107193933848616,-1.2358120500896095,0.06364688007710813,358,-1.1294295737726632,-1.2018045702342568,-1.2106447889678613,-1.234989935486412,-1.247395549585133,-1.2480340113909771,-1.2543879544738188,-1.261570478122822,-1.223532107754243,0.040610259826178635
13.83652800321579,5.891417934878418,0.25729092955589294,0.04711697063052003,0.8,0.8,0.01,4,200,0,0.8,"{'xgbregressor__colsample_bylevel': 0.8, 'xgbregressor__colsample_bytree': 0.8, 'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 4, 'xgbregressor__n_estimators': 200, 'xgbregressor__reg_alpha': 0, 'xgbregressor__subsample': 0.8}",-1.2597321108964157,-1.199961385836888,-1.2374136193354734,-1.2835989768740474,-1.2184975417161497,-1.2351932772374064,-1.3406615309086605,-1.108593268068612,-1.2354564638592067,0.06286969709880413,355,-1.1298962828754964,-1.202871894496168,-1.2104975375982296,-1.2343090814973272,-1.2474351670832682,-1.247971881794502,-1.254844950768916,-1.261968945852577,-1.2237244677458106,0.040476540639235795
12.84803330898285,5.424014204021019,0.25314411520957947,0.044796957452228885,0.8,0.8,0.01,4,200,0,1,"{'xgbregressor__colsample_bylevel': 0.8, 'xgbregressor__colsample_bytree': 0.8, 'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 4, 'xgbregressor__n_estimators': 200, 'xgbregressor__reg_alpha': 0, 'xgbregressor__subsample': 1}",-1.259721949133456,-1.2021062267718579,-1.2369815601020109,-1.2852111532036594,-1.218474977627682,-1.2376897635203865,-1.3403012173942082,-1.11022147104625,-1.236338539849939,0.062392173914229035,360,-1.131921082688832,-1.2033282287869085,-1.2112520592893485,-1.2340615386379707,-1.2491859627679842,-1.247907869064725,-1.2547381326553617,-1.2616934452764188,-1.2242610398959437,0.03990707345744314
14.224068343639374,6.155361360480676,0.2596055567264557,0.04579827255846125,0.8,0.8,0.01,4,200,0.01,0.6,"{'xgbregressor__colsample_bylevel': 0.8, 'xgbregressor__colsample_bytree': 0.8, 'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 4, 'xgbregressor__n_estimators': 200, 'xgbregressor__reg_alpha': 0.01, 'xgbregressor__subsample': 0.6}",-1.2583556267921292,-1.2008051206324533,-1.2380059629397966,-1.2864030355561655,-1.2177519632413047,-1.2359857488707133,-1.3418224175821474,-1.107271100247082,-1.235800121982724,0.06362500353335086,357,-1.1294309933521858,-1.2018059583660907,-1.2103407163157198,-1.2349909347994108,-1.2473950656589106,-1.2480351137387746,-1.2543883178037216,-1.2612635958437646,-1.2234563369848224,0.04058621355970211
