mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lasso__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,mean_train_score,std_train_score
1.4747936129570007,0.6194015441774355,0.275290846824646,0.06328092803395144,0.88,{'lasso__alpha': 0.88},-1.6822045219861548,-1.5792244475782315,-1.680712513977839,-1.7119245939573995,-1.5977802378798802,-1.6048815553248084,-1.5489929362860038,-1.3296626660657287,-1.5919229341320058,0.11259533255642669,88,-1.490440584379509,-1.5633536500666552,-1.5627674219400791,-1.578909721599698,-1.5923343820017877,-1.591898373404369,-1.5942827609524823,-1.5909311307447735,-1.5706147531361692,0.03261263678627733
1.423667550086975,0.5801898699319824,0.23438230156898499,0.05040457692656262,0.89,{'lasso__alpha': 0.89},-1.682337013868057,-1.5797122217068955,-1.6813578517420036,-1.71262630085959,-1.5979676724246639,-1.604903796651965,-1.5489292566090058,-1.3296428488038452,-1.5921846203332533,0.11276940399653558,89,-1.4904584693472815,-1.563686692419639,-1.5630228656850036,-1.5790673567363107,-1.592485551401851,-1.5920603463817695,-1.5944547722879807,-1.5910671907481648,-1.5707879056260001,0.03264729174911802
1.4462518990039825,0.5958265743377377,0.27166444063186646,0.07478610951177357,0.9,{'lasso__alpha': 0.9},-1.6824696166441386,-1.580070398814392,-1.6820082987025922,-1.713330367444917,-1.598156158845832,-1.6049272450610295,-1.5488725590195225,-1.3296267944029865,-1.5924326798669264,0.1129451239885332,90,-1.4904765561868234,-1.5639319858201,-1.5632811534138,-1.5792267571002725,-1.5926384143534127,-1.592224132820227,-1.5946287083945319,-1.5912047763578219,-1.5709515605558737,0.03268496753041699
1.444971650838852,0.6087761319063699,0.2536408305168152,0.07371081494228038,0.91,{'lasso__alpha': 0.91},-1.6826023302881818,-1.5802420743224397,-1.6826638489344377,-1.7140367908054681,-1.59834569677116,-1.6049519004990842,-1.5488228442843346,-1.3296145029994166,-1.5926599986130654,0.11312321462912996,91,-1.490494844890786,-1.5640541607986165,-1.5635422837171895,-1.5793879221571183,-1.5927929703688524,-1.5923897321601441,-1.5948045686423615,-1.5913438871780898,-1.5711012962391449,0.03272652364168563
1.4168456494808197,0.6525341800659038,0.23700636625289917,0.04877352506704917,0.92,{'lasso__alpha': 0.92},-1.682735154773956,-1.5804159446933836,-1.683138968840682,-1.7147455680285488,-1.5985362858266496,-1.604977762910512,-1.5487801130758814,-1.329605974697519,-1.5928669716058916,0.11328258921046337,92,-1.4905133354517386,-1.5641777503690144,-1.5637698899317964,-1.5795508513666645,-1.5929492189553571,-1.5925571438359818,-1.594982352394991,-1.5914845228089765,-1.5712481331393149,0.03276963688883886
1.3867094218730927,0.5804004066648496,0.26151955127716064,0.056850504520032374,0.93,{'lasso__alpha': 0.93},-1.6828680900752142,-1.5805919336671976,-1.6830079922921648,-1.715456696196468,-1.5987279256363944,-1.605004832236932,-1.5487443659721918,-1.3296012095697143,-1.5930003807057846,0.11338084269124833,93,-1.4905320278621685,-1.5643027197966446,-1.5638798749821194,-1.5797155441830721,-1.5931071596149298,-1.5927263672762324,-1.595162059009338,-1.5916266828462913,-1.5713815544463496,0.032816663077779785
1.3378899097442627,0.5677346084366136,0.23404869437217712,0.05053947376435886,0.9400000000000001,{'lasso__alpha': 0.9400000000000001},-1.683001136165698,-1.5807697724414516,-1.6828784695657715,-1.7161701723867302,-1.598920615822555,-1.605033108417344,-1.5487156034568954,-1.3296002076564464,-1.5931361357391114,0.1134785624824755,94,-1.4905509221144821,-1.5644289415534038,-1.5639910967232906,-1.5798820000548028,-1.5932667918443528,-1.5928974019035438,-1.595343687835556,-1.5917703668816183,-1.5715164011138811,0.03286419734674846
1.3477443158626556,0.5657393952047562,0.24189987778663635,0.059032086282501985,0.9500000000000001,{'lasso__alpha': 0.9500000000000001},-1.683134293019135,-1.5809496455097274,-1.6827502737498123,-1.7168859936721388,-1.599114356005426,-1.6050625913878973,-1.5486938259191487,-1.3296029689662312,-1.5932742435286895,0.11357573227313741,95,-1.4905700182010038,-1.5645565025726784,-1.5641034428285276,-1.5800502184246485,-1.5934281151352312,-1.5930702471344804,-1.5955272382172054,-1.5919155745022755,-1.5716526696270063,0.03291224049065916
1.3977160155773163,0.6050218787750531,0.25957444310188293,0.0889615371502988,0.9600000000000001,{'lasso__alpha': 0.9600000000000001},-1.6832675606092393,-1.5811318880205787,-1.6826234890977025,-1.7176041571206624,-1.5993091458034467,-1.6050932810821303,-1.548679033653614,-1.3296094934756209,-1.5934147561078742,0.11367235477580422,96,-1.4905893161139765,-1.5646855647399627,-1.56421698705724,-1.5802201987297466,-1.5935911289740168,-1.5932449023798014,-1.595712709491188,-1.592062305291398,-1.5717903890971663,0.03296078596275615
1.3573587536811829,0.6411315936069263,0.23408442735671997,0.04951427460644461,0.97,{'lasso__alpha': 0.97},-1.6834009389097109,-1.5813158279845518,-1.6824981781518673,-1.7183246597956034,-1.599504984833109,-1.6051251774308168,-1.548671226860454,-1.3296197811292172,-1.5935575968869162,0.11376844418511398,97,-1.4906088158455613,-1.5648158044602078,-1.5643317853194263,-1.580391940401573,-1.5937558328419434,-1.5934213670443143,-1.5959001009877987,-1.592210558827859,-1.5719295257160855,0.0330098407955193
1.4033295512199402,0.6609429964435111,0.24946612119674683,0.07905242819509896,0.98,{'lasso__alpha': 0.98},-1.6835344278942364,-1.5815018001272667,-1.6823741535781005,-1.719047498755715,-1.5997018727090786,-1.6051582803620208,-1.5486704056453116,-1.3296338318396752,-1.5937027838639257,0.1138639767495753,98,-1.4906285173878377,-1.5649473824394327,-1.5644476691346227,-1.5805654428659777,-1.5939222262151078,-1.5935996405269337,-1.5960894120306812,-1.5923603346863595,-1.5720700781608692,0.033059405424179365
